ranking_no,brand_name,product_name,original_price,sale_price,discount_rate,rating,review_count,like_count,product_id,product_url,img_url,category_depth1,category_depth2,category_depth3,category_depth4
1,틸아이다이,[단 하루!] [헤이가가 Pick]Wool cashmere V neck knit set [TIFA05SW04]_Ivory,137000.0,84728,38,5.0,29,5064,308886954,https://www.wconcept.co.kr/Product/308886954,https://product-image.wconcept.co.kr/productimg/image/img1/54/308886954_KJ21215.jpg?RS=412,여성,의류,니트,풀오버
2,드로우핏 우먼,[9/13 단 하루!] [W컨셉 단독][드로우핏우먼 X 주미니] 울 코튼 원턱 벨티드 슬랙스 [3COLORS],87000.0,57855,33,5.0,13,804,308943720,https://www.wconcept.co.kr/Product/308943720,https://product-image.wconcept.co.kr/productimg/image/img1/20/308943720_TU52890.jpg?RS=412,여성,의류,팬츠,슬랙스
3,마인드브릿지 우먼,"[주미니pick] 에센셜 브이넥 니트_6colors / 블랙,브라운,그레이,네이비,올리브,레드",59900.0,25130,58,5.0,15,1604,308837675,https://www.wconcept.co.kr/Product/308837675,https://product-image.wconcept.co.kr/productimg/image/img1/75/308837675_XL74814.jpg?RS=412,여성,의류,니트,풀오버
4,아비스파,[30%쿠폰] [단독]Davie 데이비 메리제인 스퀘어토 플랫슈즈(2way)_F359_3colors_1cm_2cm_3cm_4.5cm,99000.0,54740,44,4.9,2273,9999,306035261,https://www.wconcept.co.kr/Product/306035261,https://product-image.wconcept.co.kr/productimg/image/img1/61/306035261_VB13113.jpg?RS=412,여성,신발,플랫슈즈,메리제인
5,아워코모스,[48H 특가] cashmere deep V-neck knit (melange grey) orc 6094,79000.0,49908,36,5.0,7,2802,308923689,https://www.wconcept.co.kr/Product/308923689,https://product-image.wconcept.co.kr/productimg/image/img1/89/308923689_HQ64401.jpg?RS=412,여성,의류,니트,풀오버
6,우이,[20%쿠폰] 에센셜 브이넥 가디건 그레이시베이지 OU1807,59000.0,35400,40,4.9,1642,9999,307652631,https://www.wconcept.co.kr/Product/307652631,https://product-image.wconcept.co.kr/productimg/image/img1/31/307652631_LW28369.jpg?RS=412,여성,의류,니트,가디건
7,틸아이다이,[단 하루!] Modal basic slim t-shirt_Melange,42000.0,25975,38,4.9,185,4376,306040925,https://www.wconcept.co.kr/Product/306040925,https://product-image.wconcept.co.kr/productimg/image/img1/25/306040925_ML17848.jpg?RS=412,여성,의류,티셔츠,긴팔
8,틸아이다이,[단 하루!] [주미니 Pick] Raglan oversized modal tee [TIFA06LT06]_Navy,76000.0,47002,38,5.0,1,153,308972834,https://www.wconcept.co.kr/Product/308972834,https://product-image.wconcept.co.kr/productimg/image/img1/34/308972834_KB67378.jpg?RS=412,여성,의류,티셔츠,긴팔
9,어스,[30%쿠폰] [14차 리오더][기장선택가능] US105 레귤러 플레어진 (블랙),118000.0,59500,49,4.9,648,9999,307187926,https://www.wconcept.co.kr/Product/307187926,https://product-image.wconcept.co.kr/productimg/image/img1/26/307187926_PD97021.jpg?RS=412,여성,의류,데님,부츠컷진
10,드로우핏 우먼,[9/13 단 하루!] [W컨셉 단독][드로우핏우먼 X 주미니] 코튼 포켓 워크 팬츠 [BEIGE],77000.0,51205,33,4.7,6,391,308943690,https://www.wconcept.co.kr/Product/308943690,https://product-image.wconcept.co.kr/productimg/image/img1/90/308943690_GX66798.jpg?RS=412,여성,의류,팬츠,카고
11,아디다스,TOKYO W - JI0183,139000.0,88960,36,4.9,2058,9999,306115156,https://www.wconcept.co.kr/Product/306115156,https://product-image.wconcept.co.kr/productimg/image/img1/56/306115156_UD14813.jpg?RS=412,스포츠/액티브,신발,스니커즈,스니커즈
12,로브로브,[9/13 단 하루!] [W컨셉 단독][1+1][2PACK] [19차 리오더] 마이 애티튜드 니트 가디건_(8color),258000.0,97795,62,4.9,3030,2906,307665237,https://www.wconcept.co.kr/Product/307665237,https://product-image.wconcept.co.kr/productimg/image/img1/37/307665237_ES48800.jpg?RS=412,여성,의류,니트,가디건
13,틸아이다이,[단 하루!] [여울 Pick] Suede utility half jacket [TIFA06JK02]_Dark brown,269000.0,166363,38,5.0,2,167,308972882,https://www.wconcept.co.kr/Product/308972882,https://product-image.wconcept.co.kr/productimg/image/img1/82/308972882_AS49744.jpg?RS=412,여성,의류,아우터,자켓
14,하우투러브미,[30%쿠폰] 메이 논페이드 블랙 생지 데님[black],113000.0,79100,30,5.0,12,1593,308919872,https://www.wconcept.co.kr/Product/308919872,https://product-image.wconcept.co.kr/productimg/image/img1/72/308919872_WU30657.jpg?RS=412,여성,의류,데님,스트레이트진
